,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
0,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,15,0.8791361191647041,20,2,1.0,0.37,-1.35
1,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,30,0.9648879894198273,20,2,1.0,0.26,-1.24
2,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,60,0.9721237757013884,20,2,1.0,0.16,-1.13
3,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,120,0.9752975348951908,20,2,1.0,0.36,-1.34
4,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,180,0.9923211310514328,20,2,1.0,0.24,-1.21
5,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,360,0.9947064503944928,20,2,1.0,0.46,-1.44
6,ETH-28JAN22,ETH-24JUN22,ETH-25MAR22,720,1.0001536528322752,20,2,1.0,-0.25,-0.71
7,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,15,0.8813293325091528,20,2,1.0,-2.12,1.15
8,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,30,0.9403508587262223,20,2,1.0,-1.97,1.0
9,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,60,0.9697092613096973,20,2,1.0,-1.88,0.91
10,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,120,0.9838402728518838,20,2,1.0,-2.07,1.1
11,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,180,0.9953015254083158,20,2,1.0,-2.55,1.58
12,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,360,0.9895752379967383,20,2,1.0,-3.98,3.0
13,ETH-28JAN22,ETH-24JUN22,ETH-30SEP22,720,0.9984821080536755,20,2,1.0,-1.89,0.94
14,ETH-28JAN22,ETH-24JUN22,ETH-7JAN22,15,0.9372882776356846,20,2,1.0,0.93,-2.0
15,ETH-28JAN22,ETH-24JUN22,ETH-7JAN22,30,0.9713554922252119,20,2,1.0,0.81,-1.87
